stars,text,clean_text
2,Tempat wisata yang bagus tapi hati hati aja sama pungli nya guys,tempat wisata yang bagus tapi hati hati saja sama pungli nya teman
5,wisata alam eksotik di eks pertambangan kapur,wisata alam eksotik di eks pertambangan kapur
4,"Spot foto instgramable banget. Semua tempat bisa dijadiin spot foto.
Ada 2x bayar. Yg pertama waktu masuk awal kawasan perkendaraan beda2.
Yg kedua mau masuk danau(yg cuma ada pas hujan) bayarnya diitung perorangan.
Kesana sore jadi gk panas.",titik foto instgramable sekali semua tempat bisa dijadiin titik foto ada x bayar yang pertama waktu masuk awal kawasan perkendaraan beda yang kedua mau masuk danauyg hanya ada pas hujan bayarnya diitung perorangan kesana sore jadi tidak panas
4,Pernah kesini 2016an. Panas sekali. Tpi wisata yang cukup unik disini,pernah kesini an panas sekali tapi wisata yang cukup unik disini
5,"Sangatlah sayang lokasi ini, sekarang sepi karena dampak Corona",sangatlah sayang lokasi ini sekarang sepi karena dampak corona
1,"Ada 2 pos pembayaran yg paling depan pak Ogah, yg dekat warung itu yg resmi, setelah itu parkir harus bayar per orang 5000 bukan per mobil 😓. Semoga bukit jaddih bisa dikelola dengan baik agar lebih bagus, terawat, dan terbebas dari pungli pak Ogah dan mak Ogah",ada pos pembayaran yang paling depan bapak ogah yang dekat warung itu yang resmi setelah itu parkir harus bayar per orang bukan per mobil semoga bukit jaddih bisa dikelola dengan baik agar lebih bagus terawat dan terbebas dari pungli bapak ogah dan ibu ogah
5,Nice view 👍👍,baik view
3,Sekali masuk parkir lgsg bayar 20 ribu..,sekali masuk parkir langsung bayar ribu
1,"Airnya hijau lumut, bukan biru. Bnyk banget punglinya. Sampai tujuan hrs bayar pungli 3 kali. Dan danau kotor bnyk sampah.",airnya hijau lumut bukan biru banyak sekali punglinya sampai tujuan harus bayar pungli kali dan danau kotor banyak sampah
5,Very attractive,sangat attractive
5,"Makin bagus dengan adanya air kolam yg beberapa waktu lalu kering, sekarang perahunya sudah bisa operasi, ada kuda joget juga...sayangnya banyak lumut didinding jago gak begitu tampak putihnya...",makin bagus dengan adanya air kolam yang beberapa waktu lalu kering sekarang perahunya sudah bisa operasi ada kuda joget jugasayangnya banyak lumut didinding jago tidak begitu tampak putihnya
5,Nice place to take picture,baik place ke ambil picture
3,"Wisata eks penambangan batu (kapur)

Waktu akan masuk ke lokasi wisata, pengunjung dikenakan bea masuk :
Rp. 5,000 per mobil dari jalan raya menuju lokasi (masih kawasan pemukiman sepertinya)
Rp. 20,000/mobil (antara jalan pemukiman ke jalan tambang)
Rp. 20,000/mobil (nah kalo yang ini kelihatan rada jelas, soale ada gardu dan tiket masuk 😂

Kemungkinan kalo ingin menikmati spot lainnya di sekitar obyek wisata ada titik parkir juga, jadi rada mager mo pindah spot 😅😅😅",wisata eks penambangan batu kapur waktu akan masuk ke lokasi wisata pengunjung dikenakan bea masuk rp per mobil dari jalan raya menuju lokasi masih kawasan pemukiman sepertinya rp mobil antara jalan pemukiman ke jalan tambang rp mobil nah kalau yang ini kelihatan rada jelas soale ada gardu dan tiket masuk kemungkinan kalau ingin menikmati titik lainnya di sekitar obyek wisata ada titik parkir juga jadi rada mager ingin pindah titik
1,"Mengecewakan sekali, banyak pungutan liar. Belok dari jalan aspal menuju lokasi dah kena 10 rb. Masuk lokasi kena 20 rb. Masu ke area kena 20 rb. Pindah mobil kena 20 rb. Pindah mobil lagi untuk foto foto kena 20 rb. Kapoooook saya kesana... Pungutan liar tok...",mengecewakan sekali banyak pungutan liar belok dari jalan aspal menuju lokasi sudah kena rb masuk lokasi kena rb masu ke area kena rb pindah mobil kena rb pindah mobil lagi untuk foto foto kena rb kapoooook aku kesana pungutan liar tok
5,Nggak secantik dulu,tidak secantik dulu
1,Kapok saya kesana....baru belok dari jalan aspal menuju lokasi sudah ada tarikan 10 rb. Masuk lokasi ada tarikan 20 rb. Terus masuk parkir untuk foto foto ada tarikan 20 rb. Pindah ke spot yg lain ada tarikan 20 rb lagi.... Bosan disana sini ada tarikan tidak resmi terus pulang.... Nanti pindah spot yg lain ada tarikan lagi.... Daaaaah saya nggak akan kesana lagi....,kapok aku kesanabaru belok dari jalan aspal menuju lokasi sudah ada tarikan rb masuk lokasi ada tarikan rb terus masuk parkir untuk foto foto ada tarikan rb pindah ke titik yang lain ada tarikan rb lagi bosan disana sini ada tarikan tidak resmi terus pulang nanti pindah titik yang lain ada tarikan lagi daaaaah aku tidak akan kesana lagi
3,Sedikit kotor dan tidak dirawat rapi sebagai tempat wisata,sedikit kotor dan tidak dirawat rapi sebagai tempat wisata
5,"Tempat penuh kenangan. Karena disinilah ku terakhir kali berkumpul dan berwisata dgn tempat kerja yg lama yaitu SDN Cangkringmalang 2... tempat yg istimewa, kealamiannya masih terjaga, sehingga terlihat indah",tempat penuh kenangan karena disinilah ku terakhir kali berkumpul dan berwisata dengan tempat kerja yang lama yaitu sdn cangkringmalang tempat yang istimewa kealamiannya masih terjaga sehingga terlihat indah
5,Sukaaa banget  panoramanya dan terima kasih banyak buat bpak yg fotoin kita,sukaaa sekali panoramanya dan terima kasih banyak buat bpak yang fotoin kita
3,"Lumayan murah
Masuk tiket mobil 25.000
Naik kapal 30.000 ( mas kapal nya ramah dan pinter jd fotografer)",lumayan murah masuk tiket mobil naik kapal kakak kapal nya ramah dan pintar jd fotografer
5,Sementara masih belum terdapat fasilitas untuk obyek wisata seperti toilet.. Tapi buktinya bagus dan keren,sementara masih belum terdapat fasilitas untuk obyek wisata seperti toilet tapi buktinya bagus dan keren
5,Pemandangan indah,pemandangan indah
3,"Sebetulnya potensial menjadi obyek wisata yg megah,  tapi saat ini minim pengelolaan dan jalan menuju ke lokasi sangat sempit dan rusak.",sebetulnya potensial menjadi obyek wisata yang megah tapi saat ini minim pengelolaan dan jalan menuju ke lokasi sangat sempit dan rusak
5,"tempat wisata bagus dengan view yang bagus, cuman masyarakat setempat banyak jd tukang palak.
sehingga pengunjung gak nyaman aja semua2 serba bayar",tempat wisata bagus dengan view yang bagus hanya masyarakat setempat banyak jd tukang palak sehingga pengunjung tidak nyaman saja semua serba bayar
1,Terlalu banyak pembayaran setiap pos..tolong diperbaikin untuk pengelolahannya.tks,terlalu banyak pembayaran setiap postolong diperbaikin untuk pengelolahannyatks
5,"Mmh karena ini penambangan, jadi tiap tahun seakan berubah ubah.
Kalau buat poto cocok pas panas terik. Tapi kalau untuk santai, cocoknya pas teduh pagi atau sorean.
Hati2 banyak pungli yaa..
Jadi sebenarnya masuk nya free.
Hanya parkir saja berbayar.
Semoga lekas dikelola pemkab.
Disana ada banyak jajanan, beli disana ya untuk bantu pedagang kecil.
Untuk toilet, serem banget.
Hehee
Mushola yg belum nemu.
Bisa kesana kemari dengan mobil. Jadi gak capek.
Ada prahu juga cm 5rb per orang.",mmh karena ini penambangan jadi tiap tahun seakan berubah ubah kalau buat foto cocok pas panas terik tapi kalau untuk santai cocoknya pas teduh pagi atau sorean hati banyak pungli yaa jadi sebenarnya masuk nya gratis hanya parkir saja berbayar semoga lekas dikelola pemkab disana ada banyak jajanan beli disana ya untuk bantu pedagang kecil untuk toilet serem sekali hehee mushola yang belum nemu bisa kesana kemari dengan mobil jadi tidak kesal ada prahu juga cm rb per orang
4,"Pemandangannya cukup instgramable.. bagus buat foto foto, hanya jalan akses kurang mulus, biaya parkir 20 rb.. bayar biaya masuk 5000 per orang..
Tempatnya belum dikelola secara profesional masih dikelola penduduk setempat. Tempatny agak kurang terawat .tp kalo dikelola lebih baik lagi bisa jadi hidden gemsnya di madura",pemandangannya cukup instgramable bagus buat foto foto hanya jalan akses kurang mulus biaya parkir rb bayar biaya masuk per orang tempatnya belum dikelola secara profesional masih dikelola penduduk setempat tempatny agak kurang terawat tapi kalau dikelola lebih baik lagi bisa jadi hidden gemsnya di madura
5,"Dekat dari suramadu, sangat direkomendasikan untuk datang di pagi hari atau sore hari (karena panas), disayangkan akses jalan menuju tempat wisata yang sebagian bergelombang.",dekat dari suramadu sangat direkomendasikan untuk datang di pagi hari atau sore hari karena panas disayangkan akses jalan menuju tempat wisata yang sebagian bergelombang
4,"Panas bgt, kurang terawat ya emang buat penambangan ya",panas sekali kurang terawat ya memang buat penambangan ya
5,"Tempatnya sepi, dan kurang penjual makanan
Cocok untuk syut video / foto prewedding",tempatnya sepi dan kurang penjual makanan cocok untuk syut video foto prewedding
4,"Betul panorama yg mengagumkan ciptaan Illahi, yg di Eksplorasi dg multi konsep ,ekonomi pertambangan & nilai artistik sebuah wisata",betul panorama yang mengagumkan ciptaan illahi yang di eksplorasi dengan multi konsep ekonomi pertambangan nilai artistik sebuah wisata
1,Banyak komen negatif ttg pemerasan disana,banyak komen negatif tentang pemerasan disana
4,Keren...,keren
1,Setiap pintu masuk  hrus  bayar  kan  tak  logic  mau  lihat  kapur  putih  aja  harus  anggaran 100rb,setiap pintu masuk harus bayar kan tidak logic mau lihat kapur putih saja harus anggaran rb
3,"Lokasi bagus, tempat berteduhnya minim cuma di warung-warung. Masuk gaada karcisnya",lokasi bagus tempat berteduhnya minim hanya di warungwarung masuk tidak ada karcisnya
5,"Menyenangkan bila cuaca tidak panas, jadi menikmati",menyenangkan bila cuaca tidak panas jadi menikmati
5,sungguh elok,sungguh elok
4,Goa pote,goa pote
5,Keadaan alamny sudah tidak alami lagi. Kontribusi masuknya mahal..,keadaan alamny sudah tidak alami lagi kontribusi masuknya mahal
4,Minusnya cuma kurang terawat aja,minusnya hanya kurang terawat saja
4,Terlalu banyak pungutan,terlalu banyak pungutan
5,Mantap,mantap
5,"Bukit Jaddih tempat tujuan bersepeda yang bagus, pemandangannya bagus dan rintangan yang menggoda,, disarankan memakai sepeda BMX atau MTB, tidak disarankan menggunakan sepeda lipat karena jalanan yang sangat tidak rata.
Bersepeda agak pagi biar tidak kepanasan",bukit jaddih tempat tujuan bersepeda yang bagus pemandangannya bagus dan rintangan yang menggoda disarankan memakai sepeda bmx atau mtb tidak disarankan menggunakan sepeda lipat karena jalanan yang sangat tidak rata bersepeda agak pagi biar tidak kepanasan
3,"Tempatnya luas & banyak spot foto bagus. Namun efek berantai dari pandemi covid rupanya cukup berpengaruh pada bukit Jaddih, tempatnya kurang terawat, banyak kios penjual makanan yg tutup, akses jalan kurang dirawat, agak menyulitkan bus dengan kapasitas besar untuk masuk, karena banyak dahan pohon yg melintang dijalan, lebar jalan juga kurang luas. Tiket masuk 10rb oleh warga, kemudian 80rb untuk bis besar & terakhir 10rb/orang untuk tiket masuk. Semoga pengelola bukit Jaddih bisa secepatnya berbenah agar bisa menarik lebih banyak wisatawan untuk berkunjung.",tempatnya luas banyak titik foto bagus namun efek berantai dari pandemi covid rupanya cukup berpengaruh pada bukit jaddih tempatnya kurang terawat banyak kios penjual makanan yang tutup akses jalan kurang dirawat agak menyulitkan bus dengan kapasitas besar untuk masuk karena banyak dahan pohon yang melintang dijalan lebar jalan juga kurang luas tiket masuk rb oleh warga kemudian rb untuk bis besar terakhir rborang untuk tiket masuk semoga pengelola bukit jaddih bisa secepatnya berbenah agar bisa menarik lebih banyak wisatawan untuk berkunjung
5,"Kunjungan tanggal 21 November 2021. Info tiket untuk pengendara sepeda motor dikenakan tarif Rp10.000,- per sepeda motor. Tiket masuk beda lagi, tiket masuk Rp5.000,- per orang. Saya sempat tanya ke pihak yang meminta tiket masuk, katanya tiket yang Rp10.000,- itu membayar ke yang punya akses jalan menuju Bukit Jaddih. Lokasi wisata ini sebenarnya bekas tambang, atau mungkin sampai sekarang masih aktif karena masih ada truk bego di sana. Akses jalan lumayan. Saya juga sempat ketemu warga sekitar untuk berhati-hati adanya pungli, atau kejahatan semacamnya. Untuk lokasi wisatanya lumayan bagus, kalau untuk foto-foto juga bagus. Di dalam lokasi wisata juga ada pedagang makanan, dan minuman. Lokasi naik turun tangga, tergantung kita mau ke mana.",kunjungan tanggal november info tiket untuk pengendara sepeda motor dikenakan tarif rp per sepeda motor tiket masuk beda lagi tiket masuk rp per orang aku sempat tanya ke pihak yang meminta tiket masuk katanya tiket yang rp itu membayar ke yang punya akses jalan menuju bukit jaddih lokasi wisata ini sebenarnya bekas tambang atau mungkin sampai sekarang masih aktif karena masih ada truk bodoh di sana akses jalan lumayan aku juga sempat ketemu warga sekitar untuk berhatihati adanya pungli atau kejahatan semacamnya untuk lokasi wisatanya lumayan bagus kalau untuk fotofoto juga bagus di dalam lokasi wisata juga ada pedagang makanan dan minuman lokasi naik turun tangga tergantung kita mau ke mana
4,"Untuk pemandangan bukit kapur dan kita bisa masuk ke dalam goa termasuk experince lain yg patut dicoba, tp syg akses kesini jalannya lumayan jelek",untuk pemandangan bukit kapur dan kita bisa masuk ke dalam goa termasuk experince lain yang patut dicoba tapi sayang akses kesini jalannya lumayan jelek
5,"Tempat ini sulit dijangkau karena lokasinya yang jauh dari jalan utama.
Spot foto berupa gunung kapur yang dikeruk dan berlubang membentuk goa yang eksotis.
Di sini juga ada tukang foto yang siap membantu anda berselfie",tempat ini sulit dijangkau karena lokasinya yang jauh dari jalan utama titik foto berupa gunung kapur yang dikeruk dan berlubang membentuk goa yang eksotis di sini juga ada tukang foto yang siap membantu kamu berselfie
4,Tempat bagus sayang terlalu banyak tarikan dan tarikannya berfariasi,tempat bagus sayang terlalu banyak tarikan dan tarikannya berfariasi
3,"Awal masuk biaya persebeda motor 10.000, biaya parkir 10.000. Kalau saat ini bangunan nya warna nya lebih ke menghitam,  area kurang di perhatikan untuk perbaikan tempat wisatanya.",awal masuk biaya persebeda motor biaya parkir kalau saat ini bangunan nya warna nya lebih ke menghitam area kurang di perhatikan untuk perbaikan tempat wisatanya
1,"G usah kesini, nyesel banget dg punglixa",tidak usah kesini nyesel sekali dengan punglixa
5,Tempat untuk refresing dan cocok untuk berlibur dengan keluarga. Tempat di madura dan bisa diakses dengan mobil dan motor. Membayar 10b Banyak spot foto dan banyak turis lokal juga kesini,tempat untuk refresing dan cocok untuk berlibur dengan keluarga tempat di madura dan bisa diakses dengan mobil dan motor membayar b banyak titik foto dan banyak turis lokal juga kesini
2,Kurang terawat dan perlu pengamanan biar pengunjung nyaman dan aman.,kurang terawat dan perlu pengamanan biar pengunjung nyaman dan aman
5,"Bagus tempatnya, anginnya sepoi-sepoi walaupun panas disiang hari.",bagus tempatnya anginnya sepoisepoi walaupun panas disiang hari
1,"Bojeh, mahal",bojeh mahal
1,"Kalo kesini bawa toilet sendiri yaa, siapkan uang yg banyak",kalau kesini bawa toilet sendiri yaa siapkan uang yang banyak
3,"Bagus sebenarnya cm pas hujan deres, tiket terbilang mahal karena plat luar kota.",bagus sebenarnya cm pas hujan deres tiket terbilang mahal karena plat luar kota
3,"Kondisi saat ini sudah kurang terawat mungkin karena lamanya masa pandemi dan masim kemarau, danau, kolam menjadi kering. Pengunjung juga tidak ramai.",kondisi saat ini sudah kurang terawat mungkin karena lamanya masa pandemi dan masim kemarau danau kolam menjadi kering pengunjung juga tidak ramai
2,hati2 aja kl kesana ya,hati saja kalau kesana ya
5,Mantab,mantab
4,Nice view,baik view
4,Tempatnya sangat amazing...disarankan untuk datang pagi hari...di semua sudut adalah spot foto...akses jalan masuk offroad...banyak gua,tempatnya sangat amazingdisarankan untuk datang pagi haridi semua sudut adalah titik fotoakses jalan masuk offroadbanyak aku
3,"Bagus sih, sayang obyek kurang terawat. Akses jalannya juga perlu perbaikan",bagus sih sayang obyek kurang terawat akses jalannya juga perlu perbaikan
3,Tempat ini secara alami sdh bagus tapi perlu ditata spy lebih baik lagi jg sarana umum spy ditambah. Tx,tempat ini secara alami sdh bagus tapi perlu ditata spy lebih baik lagi juga sarana umum spy ditambah tx
5,"Pemandangan bagus dan bersih, meski dari pertambangan kapur yg diola menjadi tempat wisata. Akses jalannya cukup mudah dan untuk harga tiketnya juga murah. Cocok sih kalo buat sesi foto prewed karena banyak spot2 foto yg memiliki view bagus. Tersedia juga tempat parkir yg luas",pemandangan bagus dan bersih meski dari pertambangan kapur yang diola menjadi tempat wisata akses jalannya cukup mudah dan untuk harga tiketnya juga murah cocok sih kalau buat sesi foto prewed karena banyak titik foto yang memiliki view bagus tersedia juga tempat parkir yang luas
4,"One of the best tourist attraction in the Madura region of East Java, this place is a best place to visit while visiting the Bangkalan Regency of the Island of Madura. Throughout the area, you can enjoy a beautiful view of the geological limestone formations, cliffs, caves, and blue karst lakes as well seeing the process of mining limestone blocks for construction materials, concrete manufacturing, etc. If you walk through the top of the hills, you'll see the beautiful view of Madura Island as well as the nearby city of Surabaya and the infamous Suramadu Bridge. I remember visiting this place back in 2016 and then again in 2017 with my family members. But anyone else must be careful with the nearby parking lot attendants, since some of them would even make scams for the parking fees (some of them would even demand for higher parking fee). Anyway, this place is the most recommended place to visit while visiting the East Java Province.",satu of sebuah terbaik tourist attraction di sebuah madura region of east java this place adalah a terbaik place ke visit while visiting sebuah bangkalan regency of sebuah island of madura throughout sebuah area kamu dapat nikmat a beautiful view of sebuah geological limestone formations cliffs caves dan blue karst lakes sebagai well seeing sebuah process of mining limestone blocks untuk construction materials concrete manufacturing dsb if kamu walk lewat sebuah top of sebuah hills youll lihat sebuah beautiful view of madura island sebagai well sebagai sebuah nearby city of surabaya dan sebuah infamous suramadu bridge i remember visiting this place kembali di dan lalu lagi di dengan punyaku family members but anyone else must be careful dengan sebuah nearby parking lot attendants since some of mereka would bahkan buat scams untuk sebuah parking fees some of mereka would bahkan demand untuk higher parking fee anyway this place adalah sebuah most recommended place ke visit while visiting sebuah east java province
1,Berdebu,berdebu
4,Sekarang tidak terawat.. tidak sebagus di foto..,sekarang tidak terawat tidak sebagus di foto
5,Mengesankan sekali . Pemandangannya bagus,mengesankan sekali pemandangannya bagus
5,Semakin keren saja bukit kapur yang ada di ujun barat pulau madura ini 👍👍,semakin keren saja bukit kapur yang ada di ujun barat pulau madura ini
4,"Now it is an abandoned sightseeing place, many unofficial retribution",now it adalah an abandoned sightseeing place many unofficial retribution
5,"Pertama kali kesini. Tempatnya panas, memang bukit kapur. Ada kolam dengan sedikit air. Tapi justru menambah eksotis lokasinya.",pertama kali kesini tempatnya panas memang bukit kapur ada kolam dengan sedikit air tapi justru menambah eksotis lokasinya
2,Hmm,hmm
5,Rumayan lah bagus,rumayan lah bagus
5,"one of the beautiful places to take pictures and relax.
Bekas tambang batu bata yg disulap menjadi tempat wisata",satu of sebuah beautiful places ke ambil pictures dan relax bekas tambang batu bata yang disulap menjadi tempat wisata
4,"Tempatnya luas cocok buat mengabadikan momen tapi, karcisnya agak lumayan mehong",tempatnya luas cocok buat mengabadikan peristiwa tapi karcisnya agak lumayan mehong
5,Panash,panash
5,KEREN buat foto2,keren buat foto
5,Tempat nya bsgus tpi panas,tempat nya bsgus tapi panas
5,Wisata alam yang sangat indah...,wisata alam yang sangat indah
4,Tempat unik,tempat unik
5,View natural galian tambang.,view natural galian tambang
5,wisata yang unik dan tidak menguras kantong,wisata yang unik dan tidak menguras kantong
4,Tempat lumayan. Tapi panas dan banyak tukang palaknya,tempat lumayan tapi panas dan banyak tukang palaknya
5,Luar biasa,luar biasa
2,"Jaddih - Riwayatmu kini -
Dari sebuah Bukit kecil indah sampai Hari ini sebagai kawasan yang bahkan menurutku sudah tak layak lagi disebut sebagai sebuah Tempat Wisata.

Ntahlah, dulu saat Ramadhan 2015an tempat ini masih begitu bagus, asri dan Minim Pungli.

Sampai sekarang akhirnya balik kesana lagi karna notif kenangan FB, benar² sangat memprihatinkan, mulai dari Kawasan yang rusak, pungli, dan minim sekali rumput² Hijau diatas bukitnya.",jaddih riwayatmu kini dari sebuah bukit kecil indah sampai hari ini sebagai kawasan yang bahkan menurutku sudah tidak layak lagi disebut sebagai sebuah tempat wisata ntahlah dulu saat ramadhan an tempat ini masih begitu bagus asri dan minim pungli sampai sekarang akhirnya balik kesana lagi karena pemberitahuan kenangan fb benar sangat memprihatinkan mulai dari kawasan yang rusak pungli dan minim sekali rumput hijau diatas bukitnya
5,"Buatan manusia,sisa sisa pertambangan yg masih aktif,tetapi panoramanya exotis👍👍👍",buatan manusiasisa sisa pertambangan yang masih aktiftetapi panoramanya exotis
4,Bagus,bagus
3,Indah dan mempesona tapi fanas😊,indah dan mempesona tapi fanas
5,Amazing,amazing
5,"Instagramable tapi panas sih.
Karena memang area bukit kapur yak masih ada aktivitas tambang(?) Jadi mayan punya backsound khas :))
Akses sebenarnya mudah.. akan lebih baik ditambah plang penunjuk jalan lagi supaya bisa diakses meski offline.
Perlu papan petunjuk yg informatif juga si ketika di dalem area wisatanya karena kadang suka nyasar ke tempat orang tambang jalan buntu.. puncak buntu heheh",instagramable tapi panas sih karena memang area bukit kapur ya masih ada aktivitas tambang jadi lumayan punya backsound khas akses sebenarnya mudah akan lebih baik ditambah plang penunjuk jalan lagi supaya bisa diakses meski luring perlu papan petunjuk yang informatif juga si ketika di dalem area wisatanya karena kadang suka nyasar ke tempat orang tambang jalan buntu puncak buntu heheh
3,Syang sekali tempatnya kurang terawat mungkin karena pandemi..,syang sekali tempatnya kurang terawat mungkin karena pandemi
5,"Tempat yg oke di madura. tapi sayangnya banyak orang gajelasnya. sudah kena biaya parkir+masuk.. ketemu yg lain dimintain lagi.., apa itu bukan palak namanya? . haha ga kaget Lah org sana",tempat yang oke di madura tapi sayangnya banyak orang gajelasnya sudah kena biaya parkirmasuk ketemu yang lain dimintain lagi apa itu bukan palak namanya haha tidak kaget lah orang sana
3,A place for family and friends to have relaxation. To break up with every day activites.,a place untuk family dan teman ke punya relaxation ke break atas dengan setiap hari activites
5,"Mumpung ada acara di Bangkalan 2017 silam, sempatkan mampir ke Wisata Bukit Jaddhih. Entah penampakannya seperti apa di tahun 2021 ini. Overall tempatnya bagus",mumpung ada acara di bangkalan silam sempatkan mampir ke wisata bukit jaddhih entah penampakannya seperti apa di tahun ini overall tempatnya bagus
4,"Pastinya panas banget, tapi kalo udah masuk banyak spot foto bagus. Entah kenapa, waktu ke situ tidak ada pengunjung dan seperti sudah lama tidak dikelola lagi. Banyak fasilitas dan warung-warung terbengkalai.",pastinya panas sekali tapi kalau sudah masuk banyak titik foto bagus entah kenapa waktu ke situ tidak ada pengunjung dan seperti sudah lama tidak dikelola lagi banyak fasilitas dan warungwarung terbengkalai
4,"Baru aja nyobain lagi datang kesini setelah beberapa tahun engga ke bukit jaddih.. entah karena lagi pandemi, yang datang kesini jauh lebih sedikit daripada dulu.. malah tadi saja sendiri saja yang datang.. di pintu masuk, ada retribusi seikhlasnya.. habis itu masuk terus saja.. dulu disini ada kolam renang yang bagus dan rame, sekarang sudah tidak berfungsi lagi, tidak ada air di kolamnya, engga tau kenapa..
Setelah itu nyobain ke arah danau dan goa pote, disitu mobil masuk bayar 10rb.. dari situ mobil diparkir terus jalan.. nah pas jalan itu ada mas2 yang semacam tur guide dan bisa bantu motoin yang ngikutin kita.. yaudah diakhir kita kasih seikhlasnya..
Overall ya lumayan lah wisata ini, semestinya bisa ditingkatkan, tentunya dengan sinergi semua belah pihak.. dan yang pasti tetap harus memenuhi prokes",baru saja nyobain lagi datang kesini setelah beberapa tahun tidak ke bukit jaddih entah karena lagi pandemi yang datang kesini jauh lebih sedikit daripada dulu malah tadi saja sendiri saja yang datang di pintu masuk ada retribusi seikhlasnya habis itu masuk terus saja dulu disini ada kolam renang yang bagus dan rame sekarang sudah tidak berfungsi lagi tidak ada air di kolamnya tidak tau kenapa setelah itu nyobain ke arah danau dan goa pote disitu mobil masuk bayar rb dari situ mobil diparkir terus jalan nah pas jalan itu ada kakak yang semacam tur guide dan bisa bantu motoin yang ngikutin kita yasudah diakhir kita kasih seikhlasnya overall ya lumayan lah wisata ini semestinya bisa ditingkatkan tentunya dengan sinergi semua belah pihak dan yang pasti tetap harus memenuhi prokes
5,"Mirip tebing breksi, bagus juga",mirip tebing breksi bagus juga
4,綺麗な場所でしたが行くまでが大変,
3,"Kalo pertama kali kesini jika menggunakan maps harus benar"" Teliti,,, karena kurang akurat. Tempatnya masuk ke perkampungan gitu, akses jalan dari pintu masuk madura ke lokasi masih bagus, hanya waktu masuk ke buktinya saja yang rusak karena tanah kapur...",kalau pertama kali kesini jika menggunakan maps harus benar teliti karena kurang akurat tempatnya masuk ke perkampungan gitu akses jalan dari pintu masuk madura ke lokasi masih bagus hanya waktu masuk ke buktinya saja yang rusak karena tanah kapur
5,Spot photo yg keren banged walopun puanas....,titik foto yang keren banged walau puanas
4,"Masuk gang pertama kali bayar seikhlasnya gitu ke warga. Lalu mau masuk areanya bayar lagi 20rb untuk mobil. Pas sudah di areanya yang luas, itu nanti kita bisa milih di area tertentu yang (sepertinya) dimiliki oleh beda-beda orang. Kalau saya kemarin masuk di area yang ada genangan air seperti gambar ditarik karcis 5rb per orang.
Sebenarnya panas di daerah ini, jadi lebih baik disiapkan payung atau kalau ngga gitu datang pagi-pagi banget. Waktu itu ke sini lagi mendung dan anginnya semilir. Terus pas di danaunya, ada fasilitas sewa perahu yang biayanya 5rb per orang. Ini murah banget karena bisa dibantu ngefotokan sama mas yang jaga perahunya (baik banget orangnya, ramah).
Di sana disediakan toilet, tapi sayangnya kurang bersih. Lalu ada banyak warung yang jual mie dan minuman, juga ada yang jual sovenir. Fasilitas kolam renang juga ada di sini, tapi kurang tau htmnya karena waktu itu tidak masuk ke sana",masuk gang pertama kali bayar seikhlasnya gitu ke warga lalu mau masuk areanya bayar lagi rb untuk mobil pas sudah di areanya yang luas itu nanti kita bisa milih di area tertentu yang sepertinya dimiliki oleh bedabeda orang kalau aku kemarin masuk di area yang ada genangan air seperti gambar ditarik karcis rb per orang sebenarnya panas di daerah ini jadi lebih baik disiapkan payung atau kalau tidak gitu datang pagipagi sekali waktu itu ke sini lagi mendung dan anginnya semilir terus pas di danaunya ada fasilitas sewa perahu yang biayanya rb per orang ini murah sekali karena bisa dibantu ngefotokan sama kakak yang jaga perahunya baik sekali orangnya ramah di sana disediakan toilet tapi sayangnya kurang bersih lalu ada banyak warung yang jual mie dan minuman juga ada yang jual sovenir fasilitas kolam renang juga ada di sini tapi kurang tau htmnya karena waktu itu tidak masuk ke sana
5,"Alam yang terbentuk dari tetes keringat penduduk. Keindahannya terlihat namun belum nampak kepedulian dari penguasa desa.
Perlu komitmen bersama untuk menjadikan desa wisata yang ramah pada pengunjung.
Jika itu terjadi, insyaaAllah makmur penduduk sekitarnya",alam yang terbentuk dari tetes keringat penduduk keindahannya terlihat namun belum nampak kepedulian dari penguasa desa perlu komitmen bersama untuk menjadikan desa wisata yang ramah pada pengunjung jika itu terjadi insyaaallah makmur penduduk sekitarnya
4,bagus sih cuman sayang airnya skrg warnanya ijo wkwk beda sama foto2 yg digugel msh biru. terus banyak sampah juga... semoga kedepannya bisa lebih memperhatikan kebersihan baik pengelola dan pengunjung,bagus sih hanya sayang airnya sekarang warnanya ijo wkwk beda sama foto yang digugel masih biru terus banyak sampah juga semoga kedepannya bisa lebih memperhatikan kebersihan baik pengelola dan pengunjung
4,"Hari ini kesana, tempat sepi ada pengunjung cumak ndak banyak, tempat e bagus, keren, gak terlalu panas sih menurutku, terus soal pungli sih gak terlalu merasakan sih cumak kena 2 aja, terus medan nya lumayan oke lah, ada wahana naik perahu per orang 5000 bisa dayung sendiri atau minta di dayung kan sekalian, kalau aku sih milih di dayung kan soal nya bisa minta sekalian di foto kan, pokok nya gak nyesel deh kesana",hari ini kesana tempat sepi ada pengunjung cumak ndak banyak tempat e bagus keren tidak terlalu panas sih menurutku terus soal pungli sih tidak terlalu merasakan sih cumak kena saja terus medan nya lumayan oke lah ada wahana naik perahu per orang bisa dayung sendiri atau minta di dayung kan sekalian kalau aku sih milih di dayung kan soal nya bisa minta sekalian di foto kan pokok nya tidak nyesel deh kesana
