stars,teks
3,lokasi wisata dikelola oleh masyarakat sekitar sehingga menimbulkan kesan yang acak tidak ada lokasi parkir yang memadai harga tiket relatif murah rborang
5,tempat bagus culture date bisa kali ya hehe hanya kalau siang hari panas sekali sampai memicing ini mata
5,baik bila di kelola dengan profesional
5,awal dateng berasa kok gini doang pas di area bukit tiba disamperin orang sana terus diarahkan ke tempat titik foto pas ke lokasi ternyata memang cukup asyik banyak titik indah saran kebersihan lebih diperhatikan dan juga akan semakin indah bila area sekitar danau ditanami lebih banyak bunga pasti akan jauh lebih menarik pengunjung anak terhibur disana karena bisa naik perahu dan ada kolam renangnya
5,viewnya bagus tapi belum di tata dengan baik
5,bagus
4,bagus tapi panas
3,pas tidak keliatan putih karena musim hujanjalan masuknya ancurbayar x
5,tempat yang bagus untuk berwisata
4,masih ada proses tambang dan kurang diurus sayang potensi wisata ini
5,kalau itu punya pemkab yaa kan bisa anggaran jalan masuk apbd karena bisa jadi destinasi kebanggaan bangkalan dan masyarakat setempat harus menjaga oknum pungli pungli yang tidak bertanggung jawab serta keamanan tersebut agar bisa ramai destinasi tersebut dan pengunjung bisa nyaman
4,tempat wisata ramah dikantong hanya saja akses nya kurang nyaman semoga mendapat perhatian prioritas dari pemda setempat untuk akses menuju ke tmp wisata dan kedepannya makin tertata
5,lebih diperbaiki sarananyaagar lebih banyak yang berkunjung
3,suasana bagus tapi sistem karcis yang menurut aku kurang enak seolah olah ada pungli
4,lumayan
2,akses ke wisata ini masih jelek ada tarikan di awal yang ngeprank wisatawan selain itu harga masuk masih ok si
5,salah satu wisata yang recomend di bangkalan madura
4,cukup menarikjln banyak yang rusak
4,bukit jeddih ini bukit kapur yang penambangannya masih aktif namun ada sisi yang sudah tidak beroperasi dan dijadikan wisata untuk view yang ditawarkan menarik untuk fasilitas ada warung makan toilet kurang tau keadaannya akses menuju lokasi masih bisa dibilang jelek dan untuk tiketnya juga bisa x bayar mulai dari awal masuk daerah bukit ada terus kalau mau masuk daerah danau pote yang notabene wisata utamanya juga bayar lagi kali ini aku hanya masuk daerah bukit jeddihnya ya tidak lanjut ke danau pote tiketnya aku lampirin ya
5,tempat yang bagus untuk dilihat
4,dulu pas ke sini tidak ada loket dan diterik bayaran hampir setiap titik semoga sekarang tidak lagi begitu
2,sepiiiiii tidak ada apa nyaaa kurang seru
2,ke bukit jaddih hari rabu hari kerja naik mobil empat orang dari surabaya ke bangkalan waktu tempuhnya hanya setengah zaman lewat suramadu harusnya tidak lama tapi karena ikutin rute yang disarankan sama google maps rute terdekat jadinya kerasa lama sekali karena lewat jalan yang lumayan sempit buat papasan mobil dan sepertinya itu bukan jalan utama bukit jaddih ini seperti kurang dapat perhatian dari pemerintah setempat jalan menuju ke sana rusak kurangnya petunjuk di jalanjalan yang bikin agak lumayan pusing terutama kalau semobil isinya kakak yang sulidhh baca maps dan yang paling nyebelinnn pungli dimanamana di awal masuk depan gang diminta sedekah seikhlasnya ini masih oke lah pas masuk kena karcis rp rb permobil dan tidak dikasih tau dimana tempat parkirnya waktu itu sepi sekali hanya ada beberapa warga lokal pokoknya disuruh naik saja sama kang parkirnya pas mobil sudah nanjak diteriakin sama masmas lain gaboleh nanjak katanya lah gimana sih kita turun dan diikutin selalu sama masmas tersebut kita ditawarin buat diajak naiklihatlihat kita gamau karena tau kalau akan keluar uang lagi hhh tapi masih diikutin selalu tidak nyaman sekali akhirnya kita balik dengan kecewa pemirsaa
5,jalan menuju bukit nya parah sihh foto prewedding cocok masuk tiket orang
4,kesini sudah kali dengan rombongan teman dan keluarga tempatnya luas sekali hanya agak panas ya
1,banyak pungli
5,peta alamat lengkap
4,tempat foto yang bagus
4,fasilitas jalannya perlu di perbaiki
4,tempat bagus sayang belum didukung fasilitas jalan yang memadai dan pengelolaan yang baik
3,masih perlu perhatian dari pemerintah setempatakses jln menuju lokasi masih bergelombangmeskipun panas tapi asyik buat berfoto ria
4,bukit jaddih merupakan destinasi yang menarik untuk dikunjungi ketika berada di madura bukit jaddih ialah destinasi berupa tambang kapur yang memiliki pemandangan yang instagramable sebagai salah satu destinasi yang menarik dan mempunyai pemandangan yang instagramable tentu jangan sampai terlewat ketika berkunjung ke pulau madura apalagi ketika kamu sedang mengekspor pulau madura
5,ketika melihat pola kerukannya nambangnya penuh dengan perhitungan
5,tempat jual beras berkualitas murah dan homade
5,bagus
3,ampun sama punglinya
5,bukit yang bagus dan indah tidak rugi rekreasi ke sini
3,oct tidak seputih tahun
4,baru pertama kali mengunjungi lumayan bagus titik fotonya akses jalannya saja perlu diperbaiki
4,keamanan di jalan menuju tempat masih rawan sebab sepi
3,titik foto dengan latar bukit kapur bekas galian tambang toilet gelap tidak ada lampu akses lumayan kalau menggunakan kendaraan besar atau elf ada warungwarung yang menyediakan makanan kecil atau minuman waktu yang pas pagi hari atau sore hari siang hari sangat sangat hot pakai topi tersedia guide yang membantu kamu menunjukkan titik dan mengambil foto atau video disini
3,lumayan panasnya
5,kapadokia indonesia
3,masih ada pungli di beberapa lokasi pas masuk ditarik rbmotor mau masuk ke danau ditarik lagi rborg
5,menarik dan unik tapi kalau pas siangsiang cuacanya panas
5,wisata pahatan bukit kapur cakep buat fotofoto
1,banyak pungli
1,tidak tertata petunjuk masuk tidak ada tiket sangat mahal tidak ada fasilitas yang berfungsi hanya hanya truck pasir
5,baik
5,kereeeen begitu sampai di sini atmosfernya serasa di pegunungan china
5,banyak titik menarik untuk berfoto bersama keluarga dan teman
5,untuk akses jalannya mohon diperbaiki dongmakasih
5,sempat ke goa pote saja bukit jaddihnya jarang yang kesana sekarang padahal dulu bagus
5,seperti di planet lain
5,tempat menarik yang diciptakan masyarakat madura untuk menarik wisatawan menjelajahi pulaunya kamu bisa berkeliling di luar dan di dalam aku beberapa tempat masih dalam tahap pengembangan fasilitas toiletnya bagus dan bersih
5,meskipun sdh sepi tapi kalau di sore hari asyik dong
5,ada guide yang bisa bantuin foto ngarahin gaya bayar seikhlasnya oke sekali sih
1,tidak ada petunjuk arah ke objek wisata bagi orang yang pertama kali ke situ pasti bingung hanya mengandalkan gps saja
5,pertama kali ke madura ya ke bukit jaddih ini bagus untuk swafoto
5,tempat bagus tapi tidak terkelola ada pemandu gelap
1,tempat nya bagus enak buat ngadem ada kolam renangnya juga
4,nyaman
5,bagus
4,sungguh pemandangan yang menakjubkan aku itu keren
4,jalan masuk bisa dibilang parah sekali karcis masuk bayar x pertama k kedua k per orang tapi view nya indah menurut aku masih terlihat alami ckup bisa buat refreshing sejenak dari bisingnya kota semoga bisa lebih dikelola dengan baik lagi mathursuwun
3,kurang sentuhan
4,tempatnya di bagus
5,pemandangan landscap bagus bisa dikembangkan menjadi kawasan pariwisata yang potensial di madura sayang akses jalan masuk belum memadai
1,saat ini tempat wisatanya sdh ditutup karena sdh rusak berat akibat kegiatan penambangan batu putih kapur yang masif jalan aksesnya sdh rusak juga akibat repetisi beban roda truk pengangkut batu
5,panas kalau siang tapi kalau pagi atau sore lebih aku saranin sih
3,sudah tidak seindah dulu tapi boleh lah kalau mau sekedar foto dengan latar bukit kapur
5,bagus epik tempat nya hanya saja jalanan agak berkerikil bukan aspal tidak mulus lah itu saja kendalanyasemoga saja dari pemerintah setempat bisa memperbaiki jalanan di sekitar wisata bukit jaddih ke depannya
3,akses jalan masuk perlu diperbaiki
5,biaya masuk dikenakan setiap kali di berbagai pos pemeriksaan yang didirikan oleh masyarakat setempat hal ini biasa terjadi di kawasan wisata pedesaan ini adalah tambang batu kapur yang masih ditambang jadi jalanannya kasar tapi ini tempat yang menarik lakilaki yang menyapa dan memandu kamu akan memberi tahu kamu tentang spotspot foto dan memotretnya untuk kamu sehingga menyenangkan jika kamu meminta tip dengan maksud untuk memberinya tip setelahnya
4,tempat instagrammable minusnya adalah jalur ke lokasi dan terdapat beberapa pungutan unofficial potensi berkembang lebih baik lagi
5,lokasi tambang batu kapur yang bagus untuk jadi titik foto tempat masih bersih belum terlalu rame tiket masuk juga murah
4,masih alam sekali banyak truk ambil batu kapur tempat nya luas
4,tempat unik
5,pemandangannya bagus tetapi untuk kebersihan masih banyak sampah dimanamana mungkin harus ditambah fasilitas tempat sampah
5,waktu kesana sepi bangeett dan yaa seperti ada pungli gitu yaa si bapak minta bayar masuk padahal sudah ada loket tiketnya tapi yasudah gapapa bayar saja dripada nanti kenapa untuk viewnya si bagus yaa tapi panasnya lumayan walau menurutku ya masih tidak terlalu panas tapi temenku sudah bawa payung wkwk yaa batas toleransi cuaca panasnya orang beda yaa tapi ya kalau memang gamau panas kusaranin bawa payung terus karena masih pandemi gini jadi benar sepi sekali walau ya tidak terlalu explore jga karena sepi sekali kebanyakan orang tambang gitu
5,pemandangannya bagus alami dan goanya itu agak dingin dingin gimana gitu
3,tidak ada yang seru
4,murah dan enak nyoba bebek songkem empuk naknan pokoknya
3,lumayan
4,takjud dengan segala yang diciptakan olehnya bukit jaddih merupakan destinasi wisata di kabupaten bangkalan madura pemandangannya memang beda dari tempat wisata pada umumnya yang suka berswafoto ini tempat yang menarik mulai dari putihnya dinding bukit yang berasal dari batu kapur hingga danau bekas galian kapur yang hobi berfoto pasti suka dengan berbagai patahanpatahan yang menarik di setiap sudutnya untuk berkunjung aku sarankan sebaiknya mengunjungi tempat ini pada hari sabtu dan minggu saja ini dikarenakan aktivitas tambang kapur diwilayah tersebut sedang mati libur
4,perjalanan sangat menyenangkan kanan kiri persawahan yang sejuk jalan lumayan halus dan agak sepi walau agak sempit setiba di bukit kapur cuacanya sangat panas maklum pulau madura terkenal akan panasnya namun terobati dengan pemandangan bukit yang benar indah hamparan perbukitan kapur putih masih nampak warna hijau rumput dan pepohonan di atasnya sungguh indah menggelitik kaki untuk mendaki ke atasnya dari atas bukit disuguhkan hamparan pemandangan memesonaaaa kesal sudah mau neruskan cerita mending kamu kesana sendiri
5,tempatnya bagus unik dan bagus buat foto
5,pemandangan nya keren ini di pulau madura
2,jalannya jelek sekali sementara bayarnya masuk mobil bayar mahal mobil rb elfrb bis tanggungrb bus besarrb kalau di lokasi pengunjung
3,tiket masuk roda rp tiket pertandingan orangnya rb sudah waktunya untuk direnovasi penampilan diperbaharui
3,perlu ditingkatkan manajemen pengelolaan nya
4,wisata baru unik
3,kurang perawatan
5,salah satu wisata bukit kapur terbaik di jawa timur sangat cocok untuk berfoto selfie bersama keluarga dan teman mantap
5,bagus
4,bagus tapi gersang
5,tampak bagus di foto
5,tempat unik yang luar biasa dengan pemandangan yang indah
4,banyak yang bilang banyak pungli mungkin iya masuk kita di minta parkir untuk mobil kemudian di jalan kita di cegat dan di arahkan masuk ke aku masuk bayar lagi orang kalau di bilang mahal tidak juga karena di dalem kita bisa tanya sama guide ada juga orang yang ngikutin kita buat jadi guide sama bisa di minta buat fotoin kita entah bayar atau ndak karena saat itu kami menghindar mendingan foto sendiri cari aman keadaan juni tanah licin karena hujan jalan bergelombang area banyak lumut dan sampah
5,hebat
5,pemandangan yang indah
5,lokasi tambang kapur di pulau madura agak jauh dari jembatan suramadu tapi bagus untuk foto sih
1,biaya masuknya banyak benar tidak jelas berkali kali
4,untuk intrutur jlnnya dibgusin
1,semoga dengan banyaknya yang berkomentar menjadikan wisata madura menjadi lebih baik serta penduduk lokalnya bertambah ramah tamah i suka madura
1,tidak sesuai ekspetasi wisatanya tidak seperti dulu lagi
5,mantab
5,pengalaman baru kurang di kelola oleh pemda setempat menuju lokasi jlan nya kurang baik
3,lumayan tidak bad si tapi ditempat yang tidak terllau sangat worth it terlalu banyak pungutan tidak resmi
5,harga tiket per orang
1,banyak pungli
4,masuk tempat wisatanya semrawut
4,eksotisbuat wisata anti mainstream kebersihan perlu ditingkatkan tidak rekom buat mobil jenis sedan kesini karena medannya bergelombang
3,suasana alam yang menakjubkan tapi sayang kurang terawat dan kurang lengkap fasilitasnya
4,sangat oke tempatnya igable sekali hanya jalanan kesini rada jelek dan lumayan lah dari kluaran suramadu worth it tapi
2,jalannya buruk mungkin pemerintah tidak menangani tempat ini dengan baik banyak pungutan liar dari masyarakat setempat di sana
4,keren dan sangat memanjakan mata saran jam kunjung pagi atau sore ya gaiss jangan lupa tanya warga lokal walapun kita sudah pakai maps karena jalurnya banyak dan hati karena banyak kendaraan proyek warga lokalnya ramah kalau beruntung kalian bisa ketemu sama bapak mukit dan bisa tanya sejarah tambang jeddih nikmat
5,bagusharusnya di kelola lebih serius lagiterutama jalan menuju lokasiaset suatu daerah perlu pemerintah turun tangan
5,tempat yang oke untuk buru foto tapi sedikit sulit menuju ke sini jalannya kecil tapi cukup kalau menggunakan mobil
2,perbaiki akses jalannya jangan hanya ditarikin uang tapi jalan rusak gitu
5,masuk kawasan jaddih berasa motoran di kalimantan
5,pemandangan yang unik
5,recomended
5,pemandangan terbaik dengan langit biru cerah memang panas tapi akses menuju bukit perlu dijaga
3,bertahanlah oke
5,menitan setelah keluar dari suramadu akses jln masih sempit lewat perkampungan pemandangan sangat bagus untuk yang hobby foto sayang blm dikelola dengan baik akses jln masuk lokasi masih bebatuan kapur dan ada pungli di tmpt parkiran pokoknya madura mantablah sangat terkesan
4,tempat yang eksostis sedang direncanak sebagai tempat wisata kondisi jalan ke lokasi masih perlu perhatian pemda
3,tempat yang bagus untuk berfoto namun tidak ada petunjuk untuk ke sana dan medan perjalanan cukup terjal pelayanan oleh pengelola kurang bagus
3,titik untuk foto lumayan bagus saran yang ingin kesana yang bagus pagi atau sore karena kalau siang cuaca panas
1,hati hati banyak pungli maunya senang jadi kecewa
5,perbaiki jalan nya dong
1,tidak ke urus
1,banyak pungli terus jalannya juga tidak memadai
5,indahhhh
1,tiket masuk kendaraan roda dua untuk roda empat tiket masuk kolam renang untuk kendaraan roda yang airnya tidak bersih untuk roda tiket masuk bukitnya roda empat dan lain bukil ya lain tiketkarcis yang didapat hanya tambang batu kapur tok oya kalau berkunjung pada saat kemarau sediakan masker dan sunblock panas dan berdebu kalau berkunjung pada saat musim hujan jangan terlalu kepinggir dan siap siap becek dan kendaraan kejerembab aku tidak mau komen soal begal dsini soalx red area orang bangkalan saja was was lewat sini
4,wisata tambang batu kapur mungkin karena belum di kelola baik jadi fasilitas seadanya masuk gerbang dipungut rp sampai dalam setengah dipaksa bayar rp tanpa karcis buat foto cukup bagus dan ada danau buatan dan goa goa
5,lebih baiknya pergi waktu sore hari pagi hari karena siang panas bangat dan berdebu juga tapi lumayan pemandangannya mantap
4,bagus
5,kerennn pemandangan nya indah semoga kedepan nya pengelolaan wisatanya agar lebih baik lagi
5,masuk mobil ribu masuk orang ribu per orang
4,baik pict hanya kurang warung dan kebersihan nya
5,kereeeen bingitsharus pergi ke tempat ini ketika kamu berada di madura
5,cocok buat foto estetik
5,lumayan
5,bagus tempatnya unik
5,datang saat pagi hari agar cuacanya masih segar
5,bagus tempatnyacuma jalan menuju sana sempit sekali
4,jalan menuru lokasi tidak terlalu luas masuk desa saat kesana cuaca mendung jadi tidak panas
5,baik place n kalau pintar cari titik foto pasti kece
5,kalau kesana mending pakai jasa guide jd bisa ngarahin titik yang bagus untuk foto biar potonya keren
5,bagus pemandangannya sayang jalannya kurang layak
5,sangat indah
5,alhamdulillaah sampai juga di bukit jaddih bangkalan pulau madura tempatnya potensial untuk wisata namun pengembangan wisatanya perlu ditingkatkan
3,tempatnya menurut aku biasa saja untuk viewnya tapi kalau bisa pakai jasa guide saja untuk dapat fotofoto bagus viewnya malah jadi terlihat keren tempatnya
2,bukan tempat wisata ideal hanya sisa foto saja yang cakep tidak ada pengelolaan yang baik hanya tukang karcis kalau dilewatin pasti ngejar ada seorang bak guide tapi tidak asyik lebih baik lupakan dari pada jauh tapi kecewa atau tersakiti ini rekomendasi wisata buat warga setempat saja nanti gurau sdh dikelola baik sama pemerintahan daerah setempat suiiip laahh
2,tidak direkomendasikan untuk mengendarai sepeda motor karena medan berupa batuan kapur berlumut yang bisa menyebabkan sepeda motor tergelincir sedia sunscreen dan masker karena suhu udara sangat panas dan berdebu akibat proses penambangan batuan kapur
5,kunjungan yang kesekian kalinya bersama keluarga besar tempat tambang dan suasana bukit kapur putih tertata bekas tambang goa poteh yang artistik dari hasil potongan penambang menghasilkan lubang goa yang menarik
5,tempat bagus dan indah tapi hawa nya panas kalau siang hari kita harus siap topi dan payung
5,kereeen pintar pintar cari titik foto saja pasti keren jalan menuju kesana memang kurang bagus tapi masih bisa di lewati terus ada beberapa kali bayar tapi ya masih wajar semoga tempat ini lebih baik lagi di kembangkan dan di pelihara
5,jalan menuju bukit jaddhih goyang pas naik bistapi terbayar setelah sampai tempatnya sangat bagus
4,hidden gems tempat penambangan batu kapur masih aktif saat ini lokasi dapat dijangkau mobil beberapa titik sudah dibentuk untuk wisata punya potensi baik
3,waktu itu ke sini masih omicron sepi bagus tempat nya seperti di luar negri hanya ticketing nya yang perlu di tertibkan secara resmi
2,kurang terawat
3,bagus
3,tukang karcis tidak ramah sekali tempat wisatanya tidak terawat kotor dan tandus airnya juga keruh sekali tidak rekomen sekali dech
5,tambang kapur di daerah bangkalan suramadu yang masih aktif dan digunakan juga sebagai tempat wisata goa dikarenakan penambang membentuk pola jalur goa di dalam tambang cocok untuk offroad juga lokasinya
5,menurutku sih tempatnya bagus ya hanya cuacanya saja yang panas kalau untuk tiket masuk dan parkir kayaknya beda tapi yang ingin kesini boleh sekali jaraknya juga lumayan sih dari jalan raya ke tempat ini
5,
2,beli tiket tapi di usir sepertinya ada kubu di dalam pengelola
5,bagus sekali
5,pemandangannya sangat
5,akhirnya bisa kesiniwisata di bekas areal penambanganmurah meriah keren sih lumayanlahada pemandunya bisa foto juga
3,bagus tapi sayang kurang tertata
5,luar biasa
5,wisata yang pas untuk yang suka panas panas an
3,pemandangan nya bagus hanya akses saja
2,potensi wisata pengelolaan pungutan liar retribusi tidak resmitdk ada bukti tiket ataupun petugas
5,sangat menegangkan namun mantap kagum dengan alam sekitarnya penasaran datang saja ke sana
2,lokasi wisata yang tidak terkoordinir oleh pemerintah daerah hingga untuk masuk ke lokasi banyak sekali pungutan pungutan liar yang akhirnya dapat mengurangi kunjungan wisata
5,bagus unt foto
2,barusan siang tadi kesana karena penasaran tapi nyampe sana malah dibikin emosi masih ada punglinya masuk bayar karcis rb mau nyampe dilokasi goa putih ada yang narik rb lagi tanpa karcis
1,tidak recomended untuk dikunjungi penuh pungutan liar sepanjang jalan dan lokasinya
2,parkir mahal tiket masuk anak batita di hitung juga akses jalan sempit sering papasan sama dam truk
3,sangat disayangkan potensi wisata madura yang seharusnya bisa menjadi ikon wisata bangkalan tetapi masih banyak pungli dan keamanan menuju lokasi membuat wisatawan berpikir x untuk berkunjung kesini aku sebagai warga bangkalan juga cukup kecewa ketika berkunjung kesini dimana ada pos tiket masuk meskipun pos tanpa karcis dan membayar sukarela tetapi cukup menguras kantong mobil dengan penumpang menghabiskan biaya rb
4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
5,dekat dari suramadu masuk bayar mobil rb orang rb naik ke atas bukit bisa pk ojek
4,bagus buat foto sayangnya jalan menuju tkp masih kurang bagus juga fasum agar ditingkatnya shg pengunjung nyaman semoga kedepan makin tertata
5,wisata bekas tambang kapur yang menarik dan eksotis hanya saja untuk anak butuh pengawasan optimal dan lebih berhati tempat parkir luas
3,kotorpanassekedar memenuhi hasrat penasaran saja
4,pas dateng ke sini hari senin hanya berdua sama teman sampai ke bukit sekitar jam an ternyata belum ada teman wisatawan yang lain berkunjung berasa wisata seram agak tapi setelah berkeliling beberapa saat datang rombongan wisatawan siswa sekolah an gitu dannn lega sekali ada temennya banyak di bukit jaddih akhirnya bisa berkeliling dengan hati senang tidak berlanjut wisata seram nya kalau dateng kesini hati dijalannya ya soalnya jalanan nya bebatuan gitu kan jadi hati hati berkendaranya biaya retribusi jalan masuknya pas mau masuk ke lokasi untuk motor k terus ditempat wisata ada tambahan setiap orang k parkir gratis ada beberapa warung yang jualan jajanan gitu lupa foto ada yang jual cilok juga
4,pamandangannya bukit bekas hasil tambang kapur cakep sekali instagramablecm sayang aksesnya kesana harus melewati jalanan rusak jadi akses kluar masuk truk tambang juga aku naik mobil dikenakan karcis ribu di akses masuk lokasidan ada juga bayar waktu akses portal dari kampung menuju lokasi wisata kurang tau harus kasih berapa aku kasih ribunama wisata tertulisnya disana adalah gowa pute mungkin artinya aku putih
2,tempat wisata yang bagus tapi hati hati saja sama pungli nya teman
5,wisata alam eksotik di eks pertambangan kapur
4,titik foto instgramable sekali semua tempat bisa dijadiin titik foto ada x bayar yang pertama waktu masuk awal kawasan perkendaraan beda yang kedua mau masuk danauyg hanya ada pas hujan bayarnya diitung perorangan kesana sore jadi tidak panas
4,pernah kesini an panas sekali tapi wisata yang cukup unik disini
5,sangatlah sayang lokasi ini sekarang sepi karena dampak corona
1,ada pos pembayaran yang paling depan bapak ogah yang dekat warung itu yang resmi setelah itu parkir harus bayar per orang bukan per mobil semoga bukit jaddih bisa dikelola dengan baik agar lebih bagus terawat dan terbebas dari pungli bapak ogah dan ibu ogah
5,pemandangannya bagus
3,sekali masuk parkir langsung bayar ribu
1,airnya hijau lumut bukan biru banyak sekali punglinya sampai tujuan harus bayar pungli kali dan danau kotor banyak sampah
5,sangat menarik
5,makin bagus dengan adanya air kolam yang beberapa waktu lalu kering sekarang perahunya sudah bisa operasi ada kuda joget jugasayangnya banyak lumut didinding jago tidak begitu tampak putihnya
5,tempat yang bagus untuk mengambil gambar
3,wisata eks penambangan batu kapur waktu akan masuk ke lokasi wisata pengunjung dikenakan bea masuk rp per mobil dari jalan raya menuju lokasi masih kawasan pemukiman sepertinya rp mobil antara jalan pemukiman ke jalan tambang rp mobil nah kalau yang ini kelihatan rada jelas soale ada gardu dan tiket masuk kemungkinan kalau ingin menikmati titik lainnya di sekitar obyek wisata ada titik parkir juga jadi rada mager ingin pindah titik
1,mengecewakan sekali banyak pungutan liar belok dari jalan aspal menuju lokasi sudah kena rb masuk lokasi kena rb masu ke area kena rb pindah mobil kena rb pindah mobil lagi untuk foto foto kena rb kapoooook aku kesana pungutan liar tok
5,tidak secantik dulu
1,kapok aku kesanabaru belok dari jalan aspal menuju lokasi sudah ada tarikan rb masuk lokasi ada tarikan rb terus masuk parkir untuk foto foto ada tarikan rb pindah ke titik yang lain ada tarikan rb lagi bosan disana sini ada tarikan tidak resmi terus pulang nanti pindah titik yang lain ada tarikan lagi daaaaah aku tidak akan kesana lagi
3,sedikit kotor dan tidak dirawat rapi sebagai tempat wisata
5,tempat penuh kenangan karena disinilah ku terakhir kali berkumpul dan berwisata dengan tempat kerja yang lama yaitu sdn cangkringmalang tempat yang istimewa kealamiannya masih terjaga sehingga terlihat indah
5,sukaaa sekali panoramanya dan terima kasih banyak buat bpak yang fotoin kita
3,lumayan murah masuk tiket mobil naik kapal kakak kapal nya ramah dan pintar jd fotografer
5,sementara masih belum terdapat fasilitas untuk obyek wisata seperti toilet tapi buktinya bagus dan keren
5,pemandangan indah
3,sebetulnya potensial menjadi obyek wisata yang megah tapi saat ini minim pengelolaan dan jalan menuju ke lokasi sangat sempit dan rusak
5,tempat wisata bagus dengan view yang bagus hanya masyarakat setempat banyak jd tukang palak sehingga pengunjung tidak nyaman saja semua serba bayar
1,terlalu banyak pembayaran setiap postolong diperbaikin untuk pengelolahannyatks
5,mmh karena ini penambangan jadi tiap tahun seakan berubah ubah kalau buat foto cocok pas panas terik tapi kalau untuk santai cocoknya pas teduh pagi atau sorean hati banyak pungli yaa jadi sebenarnya masuk nya gratis hanya parkir saja berbayar semoga lekas dikelola pemkab disana ada banyak jajanan beli disana ya untuk bantu pedagang kecil untuk toilet serem sekali hehee mushola yang belum nemu bisa kesana kemari dengan mobil jadi tidak kesal ada prahu juga cm rb per orang
4,pemandangannya cukup instgramable bagus buat foto foto hanya jalan akses kurang mulus biaya parkir rb bayar biaya masuk per orang tempatnya belum dikelola secara profesional masih dikelola penduduk setempat tempatny agak kurang terawat tapi kalau dikelola lebih baik lagi bisa jadi hidden gemsnya di madura
5,dekat dari suramadu sangat direkomendasikan untuk datang di pagi hari atau sore hari karena panas disayangkan akses jalan menuju tempat wisata yang sebagian bergelombang
4,panas sekali kurang terawat ya memang buat penambangan ya
5,tempatnya sepi dan kurang penjual makanan cocok untuk syut video foto prewedding
4,betul panorama yang mengagumkan ciptaan illahi yang di eksplorasi dengan multi konsep ekonomi pertambangan nilai artistik sebuah wisata
1,banyak komen negatif tentang pemerasan disana
4,keren
1,setiap pintu masuk harus bayar kan tidak logic mau lihat kapur putih saja harus anggaran rb
3,lokasi bagus tempat berteduhnya minim hanya di warungwarung masuk tidak ada karcisnya
5,menyenangkan bila cuaca tidak panas jadi menikmati
5,sungguh elok
4,pergilah
5,keadaan alamny sudah tidak alami lagi kontribusi masuknya mahal
4,minusnya hanya kurang terawat saja
4,terlalu banyak pungutan
5,mantap
5,bukit jaddih tempat tujuan bersepeda yang bagus pemandangannya bagus dan rintangan yang menggoda disarankan memakai sepeda bmx atau mtb tidak disarankan menggunakan sepeda lipat karena jalanan yang sangat tidak rata bersepeda agak pagi biar tidak kepanasan
3,tempatnya luas banyak titik foto bagus namun efek berantai dari pandemi covid rupanya cukup berpengaruh pada bukit jaddih tempatnya kurang terawat banyak kios penjual makanan yang tutup akses jalan kurang dirawat agak menyulitkan bus dengan kapasitas besar untuk masuk karena banyak dahan pohon yang melintang dijalan lebar jalan juga kurang luas tiket masuk rb oleh warga kemudian rb untuk bis besar terakhir rborang untuk tiket masuk semoga pengelola bukit jaddih bisa secepatnya berbenah agar bisa menarik lebih banyak wisatawan untuk berkunjung
5,kunjungan tanggal november info tiket untuk pengendara sepeda motor dikenakan tarif rp per sepeda motor tiket masuk beda lagi tiket masuk rp per orang aku sempat tanya ke pihak yang meminta tiket masuk katanya tiket yang rp itu membayar ke yang punya akses jalan menuju bukit jaddih lokasi wisata ini sebenarnya bekas tambang atau mungkin sampai sekarang masih aktif karena masih ada truk bodoh di sana akses jalan lumayan aku juga sempat ketemu warga sekitar untuk berhatihati adanya pungli atau kejahatan semacamnya untuk lokasi wisatanya lumayan bagus kalau untuk fotofoto juga bagus di dalam lokasi wisata juga ada pedagang makanan dan minuman lokasi naik turun tangga tergantung kita mau ke mana
4,untuk pemandangan bukit kapur dan kita bisa masuk ke dalam goa termasuk experince lain yang patut dicoba tapi sayang akses kesini jalannya lumayan jelek
5,tempat ini sulit dijangkau karena lokasinya yang jauh dari jalan utama titik foto berupa gunung kapur yang dikeruk dan berlubang membentuk goa yang eksotis di sini juga ada tukang foto yang siap membantu kamu berselfie
4,tempat bagus sayang terlalu banyak tarikan dan tarikannya berfariasi
3,awal masuk biaya persebeda motor biaya parkir kalau saat ini bangunan nya warna nya lebih ke menghitam area kurang di perhatikan untuk perbaikan tempat wisatanya
1,tidak usah kesini nyesel sekali dengan punglixa
5,tempat untuk refresing dan cocok untuk berlibur dengan keluarga tempat di madura dan bisa diakses dengan mobil dan motor membayar b banyak titik foto dan banyak turis lokal juga kesini
2,kurang terawat dan perlu pengamanan biar pengunjung nyaman dan aman
5,bagus tempatnya anginnya sepoisepoi walaupun panas disiang hari
1,bojeh sayang
1,kalau kesini bawa toilet sendiri yaa siapkan uang yang banyak
3,bagus sebenarnya cm pas hujan deres tiket terbilang mahal karena plat luar kota
3,kondisi saat ini sudah kurang terawat mungkin karena lamanya masa pandemi dan masim kemarau danau kolam menjadi kering pengunjung juga tidak ramai
2,hati saja kalau kesana ya
5,mantab
4,pemandangan yang bagus
4,tempatnya sangat amazingdisarankan untuk datang pagi haridi semua sudut adalah titik fotoakses jalan masuk offroadbanyak aku
3,bagus sih sayang obyek kurang terawat akses jalannya juga perlu perbaikan
3,tempat ini secara alami sdh bagus tapi perlu ditata spy lebih baik lagi juga sarana umum spy ditambah tx
